,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K02325,0,0,0,0,0,0,4,0,0,0
K02340,0,0,0,0,1,0,2,0,0,1
K02351,0,0,4,0,0,0,0,0,0,0
K02381,0,0,0,1,0,0,2,0,0,1
K02394,0,1,0,1,0,1,0,1,0,0
K02404,0,0,0,1,1,1,0,1,0,0
K02418,0,0,1,0,0,0,2,0,1,0
K02431,0,0,1,0,1,0,2,0,0,0
K02441,2,1,0,0,0,0,0,1,0,0
K02448,0,0,1,0,1,0,0,1,0,1
K02527,2,0,0,0,0,1,0,0,0,1
K02533,0,0,1,1,2,0,0,0,0,0
K02548,0,0,0,1,2,0,0,1,0,0
K02574,2,0,1,0,0,0,0,0,0,1
K02611,2,0,0,1,0,0,0,1,0,0
K02613,0,0,2,0,0,1,0,0,0,1
K02697,4,0,0,0,0,0,0,0,0,0
K02710,2,0,1,0,0,1,0,0,0,0
K02713,0,0,0,0,2,0,0,1,1,0
K02763,0,0,3,0,0,1,0,0,0,0
K02764,0,0,3,0,0,1,0,0,0,0
K02765,0,0,3,0,0,1,0,0,0,0
K02793,0,0,2,0,0,0,2,0,0,0
K02802,0,0,3,0,0,1,0,0,0,0
K02803,0,0,3,0,0,1,0,0,0,0
K02804,0,0,3,0,0,1,0,0,0,0
K02805,0,0,2,0,1,0,0,0,0,1
K02860,0,0,0,0,1,0,0,3,0,0
K02868,0,0,0,1,0,1,2,0,0,0
K02880,0,0,0,0,2,0,0,0,0,2
K02898,0,0,0,1,0,1,2,0,0,0
K02908,0,0,0,1,0,2,0,1,0,0
K02910,0,0,0,0,0,2,0,0,2,0
K02960,0,0,0,1,0,1,0,0,2,0
K02966,0,0,0,0,1,0,0,3,0,0
K02975,2,0,0,1,1,0,0,0,0,0
K02989,0,1,0,1,2,0,0,0,0,0
K02991,0,0,0,1,1,1,0,0,0,1
K02993,0,0,0,0,3,0,0,0,1,0
K02995,0,0,0,0,1,2,0,1,0,0
K03033,0,0,0,1,1,1,0,0,0,1
K03038,0,0,0,0,0,3,0,0,1,0
K03078,0,0,4,0,0,0,0,0,0,0
K03094,2,0,0,0,2,0,0,0,0,0
K03097,0,0,0,0,0,1,2,1,0,0
K03113,2,0,0,1,1,0,0,0,0,0
K03125,0,0,0,0,0,4,0,0,0,0
K03179,0,0,0,1,1,1,0,0,1,0
K03213,0,0,0,0,0,4,0,0,0,0
K03222,0,0,0,0,0,1,2,1,0,0
K03332,0,0,0,0,0,0,2,0,2,0
K03333,0,0,0,0,0,0,2,1,1,0
K03457,0,0,1,0,0,2,0,1,0,0
K03503,0,0,1,0,0,0,0,3,0,0
K03523,0,0,0,1,1,0,2,0,0,0
K03575,0,0,0,1,1,2,0,0,0,0
K03597,0,0,1,1,0,0,2,0,0,0
K03610,2,0,0,0,1,1,0,0,0,0
K03630,2,0,0,0,0,1,0,1,0,0
K03752,0,0,1,1,0,0,2,0,0,0
K03780,0,0,0,0,1,0,2,1,0,0
K03785,0,0,0,0,0,0,2,1,0,1
K03793,0,0,1,0,2,0,0,0,0,1
K03794,0,0,2,0,0,0,2,0,0,0
K03806,0,1,2,0,0,0,0,0,0,1
K03819,2,0,0,2,0,0,0,0,0,0
K03825,0,0,1,2,0,0,0,1,0,0
K03918,0,0,0,0,0,1,0,2,0,1
K03933,0,0,0,0,1,0,0,2,0,1
K04014,0,0,1,0,0,0,0,1,1,1
K04021,0,0,0,0,1,0,2,1,0,0
K04074,0,0,1,0,0,0,2,0,1,0
K04371,2,0,0,0,1,0,0,0,0,1
K04373,0,0,1,0,0,0,0,1,1,1
K04406,2,1,0,0,0,1,0,0,0,0
K04429,0,0,0,0,0,3,0,0,1,0
K04445,0,0,2,0,0,0,0,1,0,1
K04482,0,0,0,0,0,1,0,3,0,0
K04496,2,0,0,1,0,0,0,0,0,1
K04513,0,0,0,1,0,2,0,0,1,0
K04527,0,0,0,0,0,0,2,2,0,0
K04720,0,0,0,0,0,2,0,1,0,1
K04753,0,0,0,1,1,1,0,0,0,1
K04784,0,0,0,0,0,2,2,0,0,0
K04801,0,0,0,0,0,0,0,4,0,0
K05087,0,0,0,0,0,0,2,2,0,0
K05198,0,0,0,0,0,2,2,0,0,0
K05202,0,0,0,0,0,2,2,0,0,0
K05296,2,1,0,1,0,0,0,0,0,0
K05304,2,0,0,1,1,0,0,0,0,0
K05306,0,0,1,1,0,0,0,1,0,1
K05362,2,0,0,1,0,0,0,1,0,0
K05382,2,0,0,0,0,1,0,0,1,0
K05566,0,0,0,1,0,1,0,1,1,0
K05570,0,0,1,0,0,2,0,0,1,0
K05590,0,0,1,0,0,0,0,2,0,1
K05602,2,0,0,0,0,0,0,0,1,1
K05668,2,0,0,0,0,2,0,0,0,0
K05700,2,0,0,0,0,1,0,1,0,0
K05748,4,0,0,0,0,0,0,0,0,0
K05753,4,0,0,0,0,0,0,0,0,0
K05757,2,0,0,0,2,0,0,0,0,0
K05758,0,0,0,0,1,0,0,0,2,1
K05770,2,0,0,0,0,1,0,0,1,0
K05781,0,0,2,0,0,0,0,0,2,0
K05793,4,0,0,0,0,0,0,0,0,0
K05823,0,0,2,0,1,0,0,1,0,0
K05830,0,0,0,0,1,1,0,2,0,0
K05841,0,0,0,0,0,2,0,1,1,0
K05849,0,0,0,2,0,1,0,0,1,0
K05934,2,0,1,0,0,0,0,0,0,1
K05947,2,0,2,0,0,0,0,0,0,0
K05995,0,0,0,0,0,0,2,1,1,0
K05996,2,0,0,0,0,1,0,0,1,0
K06015,0,0,0,0,2,0,2,0,0,0
K06016,0,0,0,0,0,3,0,0,0,1
K06019,0,0,2,0,0,0,0,2,0,0
K06071,2,0,2,0,0,0,0,0,0,0
K06083,4,0,0,0,0,0,0,0,0,0
K06120,0,0,0,0,0,0,0,0,2,2
K06139,0,0,0,2,0,1,0,0,0,1
K06140,0,0,3,0,0,1,0,0,0,0
K06160,2,0,0,0,0,0,0,2,0,0
K06164,0,0,0,0,4,0,0,0,0,0
K06214,2,0,0,0,0,0,0,0,0,2
K06220,4,0,0,0,0,0,0,0,0,0
K06221,0,0,0,0,0,1,0,3,0,0
K06699,0,0,0,1,1,1,0,1,0,0
K06858,0,0,3,0,0,1,0,0,0,0
K06865,0,0,0,0,0,0,0,3,0,1
K06876,0,0,2,0,1,0,0,0,1,0
K06885,0,0,1,0,1,2,0,0,0,0
K06900,0,0,0,1,0,0,2,1,0,0
K06905,0,0,0,0,0,2,0,1,0,1
K06923,2,0,0,1,0,0,0,0,1,0
K06931,0,0,0,1,1,0,0,0,2,0
K06951,0,0,0,0,0,0,0,3,1,0
K06988,0,0,1,0,2,1,0,0,0,0
K06994,0,0,1,0,0,2,0,0,0,1
K07016,0,0,0,0,0,0,2,1,0,1
K07018,0,0,0,0,0,0,4,0,0,0
K07026,2,0,2,0,0,0,0,0,0,0
K07029,0,0,0,0,2,1,0,1,0,0
K07059,0,0,0,1,0,0,0,3,0,0
K07092,0,0,0,0,0,1,2,1,0,0
K07141,0,0,3,0,0,0,0,0,0,1
K07181,0,0,3,0,0,0,0,0,0,1
K07223,0,0,1,2,1,0,0,0,0,0
K07231,2,0,0,0,0,2,0,0,0,0
K07288,0,0,2,0,0,2,0,0,0,0
K07297,0,0,3,0,0,0,0,0,0,1
K07307,0,0,0,0,0,0,2,0,0,2
K07317,0,0,0,0,0,0,2,2,0,0
K07320,0,0,2,0,1,0,0,1,0,0
K07321,0,0,0,0,0,0,0,3,0,1
K07334,0,0,0,1,0,2,0,1,0,0
K07339,0,0,0,0,0,4,0,0,0,0
K07354,0,0,0,0,0,4,0,0,0,0
K07399,0,1,2,1,0,0,0,0,0,0
K07442,0,0,0,0,0,3,0,1,0,0
K07451,0,0,0,0,0,4,0,0,0,0
K07466,0,0,0,0,0,0,0,4,0,0
K07488,2,0,0,0,0,0,0,2,0,0
K07507,0,0,2,0,0,0,2,0,0,0
K07560,0,0,0,1,1,2,0,0,0,0
K07645,0,1,1,0,2,0,0,0,0,0
K07652,0,0,0,0,1,1,0,1,0,1
K07708,0,1,1,0,1,0,0,1,0,0
K07709,2,0,0,0,0,0,2,0,0,0
K07759,2,0,0,0,0,0,0,0,1,1
K07917,0,0,0,0,0,1,2,1,0,0
K07936,0,0,0,0,1,1,2,0,0,0
K08026,0,0,0,0,0,0,4,0,0,0
K08054,0,0,0,0,0,3,0,1,0,0
K08097,0,0,0,1,1,2,0,0,0,0
K08100,0,0,0,1,1,1,0,0,0,1
K08168,0,0,1,0,0,0,2,1,0,0
K08191,0,0,3,0,0,0,0,1,0,0
K08217,0,0,4,0,0,0,0,0,0,0
K08254,0,0,0,1,0,0,0,2,1,0
K08292,0,0,0,0,0,3,0,1,0,0
K08311,0,1,0,0,0,0,2,1,0,0
K08316,2,0,0,0,0,1,0,0,0,1
K08317,0,0,1,0,2,0,0,0,0,1
K08509,0,0,0,0,0,3,0,1,0,0
K08585,0,0,0,1,0,2,0,0,1,0
K08648,0,0,0,0,1,1,2,0,0,0
K08654,0,0,0,1,0,0,2,0,0,1
K08672,0,0,0,1,0,0,2,0,0,1
K08700,2,1,0,0,0,1,0,0,0,0
K08723,0,1,1,0,0,1,0,0,0,1
K08809,0,0,0,0,0,4,0,0,0,0
K08823,2,0,0,0,1,1,0,0,0,0
K08835,2,1,0,0,0,1,0,0,0,0
K08837,2,1,0,0,0,1,0,0,0,0
K08903,2,0,0,1,0,0,0,0,1,0
K08918,0,0,0,0,1,0,0,3,0,0
K08919,0,0,0,0,1,0,0,3,0,0
K08920,0,0,0,0,1,0,0,3,0,0
K08921,0,0,0,0,1,0,0,3,0,0
K08922,0,0,0,0,1,0,0,3,0,0
K08923,0,0,0,0,1,0,0,3,0,0
K08924,0,0,0,0,1,0,0,3,0,0
K08925,0,0,0,0,1,0,0,3,0,0
K08981,2,0,1,0,0,1,0,0,0,0
K08982,4,0,0,0,0,0,0,0,0,0
K09001,0,1,0,0,0,0,0,0,2,1
K09002,0,0,0,0,0,0,0,3,0,1
K09005,0,0,0,0,0,0,2,1,0,1
K09011,0,0,0,0,0,0,0,4,0,0
K09016,0,0,2,0,0,1,0,0,0,1
K09100,0,0,3,0,0,1,0,0,0,0
K09250,0,0,0,0,1,3,0,0,0,0
K09461,0,0,3,0,1,0,0,0,0,0
K09479,0,0,0,3,0,1,0,0,0,0
K09482,0,0,0,0,0,0,0,3,0,1
K09485,0,0,0,0,0,0,4,0,0,0
K09487,0,0,0,1,1,1,0,1,0,0
K09489,0,0,0,0,1,1,2,0,0,0
K09498,0,0,0,0,0,1,2,0,0,1
K09499,0,0,0,0,0,2,2,0,0,0
K09585,0,0,0,0,0,4,0,0,0,0
K09611,0,0,0,0,0,0,4,0,0,0
K09695,0,0,2,0,0,0,0,1,1,0
K09791,0,0,0,0,1,0,2,1,0,0
K09812,0,0,1,0,0,1,0,2,0,0
K09883,0,0,0,2,0,2,0,0,0,0
K09927,0,0,0,2,0,0,2,0,0,0
K09949,2,0,0,0,1,1,0,0,0,0
K09959,0,1,0,1,0,1,0,0,0,1
K10010,0,0,0,1,0,0,2,1,0,0
K10084,0,0,0,0,0,4,0,0,0,0
K10121,0,0,0,0,0,0,2,1,1,0
K10150,4,0,0,0,0,0,0,0,0,0
K10192,2,0,0,1,0,0,0,1,0,0
K10200,2,0,0,1,0,0,0,0,1,0
K10218,0,0,0,0,3,0,0,1,0,0
K10229,0,0,0,0,0,0,4,0,0,0
K10254,0,0,4,0,0,0,0,0,0,0
K10296,0,0,0,0,0,0,0,0,1,3
K10407,2,0,0,0,0,0,0,2,0,0
K10423,2,0,0,0,0,0,2,0,0,0
K10540,2,0,0,0,0,0,2,0,0,0
K10553,2,0,1,0,0,0,0,1,0,0
K10587,0,0,0,0,3,0,0,1,0,0
K10778,0,0,0,1,0,2,0,1,0,0
K10780,0,0,0,0,2,0,0,1,0,1
K10844,0,0,3,1,0,0,0,0,0,0
K10965,0,1,0,0,0,1,2,0,0,0
K11003,2,0,2,0,0,0,0,0,0,0
K11017,0,0,2,1,0,0,0,0,0,1
K11066,0,1,2,0,0,0,0,0,0,1
K11075,2,0,0,0,2,0,0,0,0,0
K11087,0,0,0,0,1,0,2,0,0,1
K11096,0,0,0,1,1,0,2,0,0,0
K11244,0,0,0,0,0,4,0,0,0,0
K11248,0,0,0,0,0,4,0,0,0,0
K11279,2,0,0,0,0,1,0,0,1,0
K11292,2,0,0,0,0,0,0,1,0,1
K11390,0,0,1,0,0,2,0,0,0,1
K11417,0,0,4,0,0,0,0,0,0,0
K11444,0,0,2,0,0,1,0,1,0,0
K11472,4,0,0,0,0,0,0,0,0,0
K11592,0,0,1,1,2,0,0,0,0,0
K11608,0,0,1,0,0,1,2,0,0,0
K11647,0,0,0,1,0,1,2,0,0,0
K11886,0,0,0,0,0,2,0,2,0,0
K11934,2,0,0,2,0,0,0,0,0,0
K11994,0,0,0,1,0,2,0,1,0,0
K11995,0,0,0,1,0,2,0,1,0,0
K12035,0,0,0,1,0,0,0,3,0,0
K12046,0,0,0,0,0,2,0,1,1,0
K12120,0,0,0,1,0,0,0,3,0,0
K12121,0,0,0,1,0,0,0,3,0,0
K12122,0,0,0,1,0,0,0,3,0,0
K12123,0,0,0,1,0,0,0,3,0,0
K12136,0,1,0,0,0,0,2,1,0,0
K12137,0,0,0,0,0,0,2,0,0,2
K12146,0,0,1,0,0,0,2,1,0,0
K12176,0,0,0,0,0,4,0,0,0,0
K12179,0,0,0,2,1,1,0,0,0,0
K12191,0,0,0,0,1,0,2,0,1,0
K12206,2,0,1,0,0,1,0,0,0,0
K12240,0,0,0,0,0,2,2,0,0,0
K12251,0,0,1,1,1,1,0,0,0,0
K12261,2,0,0,0,1,1,0,0,0,0
K12262,0,0,2,0,0,0,0,1,1,0
K12287,0,0,1,0,1,0,0,2,0,0
K12311,0,0,0,0,0,2,2,0,0,0
K12382,0,0,0,0,0,1,2,1,0,0
K12383,2,0,0,1,1,0,0,0,0,0
K12429,0,0,3,0,0,0,0,1,0,0
K12525,0,0,1,1,0,0,0,1,1,0
K12542,2,0,1,1,0,0,0,0,0,0
K12598,2,0,0,0,1,1,0,0,0,0
K12670,0,0,0,0,0,0,2,1,1,0
K12736,2,0,0,0,0,1,0,1,0,0
K12741,0,0,0,0,0,2,2,0,0,0
K12819,2,0,0,0,0,2,0,0,0,0
K12825,2,0,0,0,0,0,2,0,0,0
K12852,0,0,0,0,1,2,0,1,0,0
K12863,0,0,0,0,0,2,2,0,0,0
K12867,0,0,0,0,0,3,0,0,1,0
K12952,0,0,1,2,0,1,0,0,0,0
K12984,2,0,0,1,0,0,0,1,0,0
K13016,0,0,0,1,0,1,0,0,1,1
K13041,0,0,1,0,2,1,0,0,0,0
K13049,0,0,2,0,0,1,0,1,0,0
K13094,2,0,0,0,0,2,0,0,0,0
K13100,0,0,0,0,0,2,2,0,0,0
K13172,0,0,0,0,0,2,2,0,0,0
K13192,0,0,0,0,1,3,0,0,0,0
K13252,0,0,1,0,0,0,2,1,0,0
K13313,2,0,0,0,1,0,0,1,0,0
K13431,0,0,0,1,1,0,0,2,0,0
K13503,0,0,1,0,1,1,0,0,1,0
K13582,0,0,0,0,0,3,0,0,0,1
K13634,0,0,4,0,0,0,0,0,0,0
K13638,2,0,1,0,0,1,0,0,0,0
K13653,0,0,0,1,0,0,0,3,0,0
K13731,0,0,0,0,0,3,0,0,0,1
K13799,2,0,2,0,0,0,0,0,0,0
K13861,0,0,0,0,0,1,0,1,1,1
K13886,0,0,0,1,0,0,0,1,2,0
K13887,0,0,0,1,0,0,0,1,2,0
K13941,0,0,3,0,0,0,0,0,0,1
K13950,2,0,2,0,0,0,0,0,0,0
K13981,0,0,0,0,0,4,0,0,0,0
K14005,2,0,0,0,1,1,0,0,0,0
K14006,0,0,0,0,0,3,0,0,0,1
K14012,0,0,0,2,0,1,0,0,0,1
K14026,2,0,0,1,0,1,0,0,0,0
K14081,0,0,0,0,1,0,0,1,1,1
K14085,2,0,0,1,0,0,0,0,1,0
K14201,2,0,1,0,0,0,0,1,0,0
K14206,0,0,0,0,0,1,2,1,0,0
K14266,2,0,0,1,1,0,0,0,0,0
K14291,0,0,0,1,1,0,2,0,0,0
K14309,0,0,0,0,0,1,2,1,0,0
K14333,4,0,0,0,0,0,0,0,0,0
K14447,4,0,0,0,0,0,0,0,0,0
K14489,0,0,0,0,0,0,0,1,2,1
K14539,4,0,0,0,0,0,0,0,0,0
K14540,0,0,3,0,0,0,0,0,1,0
K14676,0,0,0,1,0,1,2,0,0,0
K14681,2,0,0,0,1,0,0,0,0,1
K14692,0,0,0,0,0,1,2,1,0,0
K14761,2,0,1,0,1,0,0,0,0,0
K14808,0,0,1,0,0,1,0,2,0,0
K14819,0,0,0,0,0,1,2,0,1,0
K14843,2,0,0,0,0,1,0,1,0,0
K14855,0,0,0,0,0,2,0,2,0,0
K14949,0,0,0,2,0,1,0,1,0,0
K15012,0,0,0,1,1,0,2,0,0,0
K15016,0,0,0,0,0,0,0,4,0,0
K15074,2,0,0,0,0,2,0,0,0,0
K15231,0,0,0,0,1,0,2,0,0,1
K15270,2,0,2,0,0,0,0,0,0,0
K15327,2,0,0,1,1,0,0,0,0,0
K15355,2,0,0,1,1,0,0,0,0,0
K15358,4,0,0,0,0,0,0,0,0,0
K15441,0,0,4,0,0,0,0,0,0,0
K15469,2,0,0,1,1,0,0,0,0,0
K15498,0,0,0,1,1,0,2,0,0,0
K15551,0,0,0,1,2,0,0,0,0,1
K15652,0,0,0,0,0,0,4,0,0,0
K15654,2,0,0,1,0,1,0,0,0,0
K15659,0,0,0,1,1,0,0,1,1,0
K15667,0,0,0,1,1,1,0,0,1,0
K15869,0,0,0,0,3,0,0,0,1,0
K15893,2,0,0,2,0,0,0,0,0,0
K16043,0,0,0,0,0,4,0,0,0,0
K16088,0,0,4,0,0,0,0,0,0,0
K16092,0,0,2,0,0,1,0,0,0,1
K16133,0,0,0,1,1,0,2,0,0,0
K16150,0,0,0,0,0,0,2,0,0,2
K16196,0,0,0,0,0,0,0,1,2,1
K16248,0,0,0,0,0,1,0,2,0,1
K16296,2,0,0,0,1,1,0,0,0,0
K16297,0,0,0,0,1,0,2,0,1,0
K16298,0,0,0,0,0,1,2,0,1,0
K16353,0,0,0,2,0,0,0,0,2,0
K16449,0,0,0,0,0,0,4,0,0,0
K16498,0,0,0,0,0,4,0,0,0,0
K16507,0,0,0,1,0,1,2,0,0,0
K16555,4,0,0,0,0,0,0,0,0,0
K16681,0,0,0,1,0,1,2,0,0,0
K16856,2,0,1,1,0,0,0,0,0,0
K16913,0,0,0,0,0,0,2,2,0,0
K17080,0,0,0,0,0,3,0,0,0,1
K17081,0,0,0,0,0,2,0,0,0,2
K17094,0,0,0,0,0,2,0,0,1,1
K17214,0,0,1,1,0,0,2,0,0,0
K17227,0,0,0,1,1,0,0,0,0,2
K17255,0,0,0,0,1,0,2,0,1,0
K17263,2,0,0,0,0,0,0,0,2,0
K17264,0,0,0,1,0,1,0,2,0,0
K17277,0,0,0,0,0,1,2,1,0,0
K17301,2,0,0,1,0,0,0,1,0,0
K17743,2,0,0,0,0,2,0,0,0,0
K17754,0,0,0,1,0,0,0,3,0,0
K17760,0,0,3,0,1,0,0,0,0,0
K17828,0,0,0,1,1,0,0,1,1,0
K17955,0,0,0,0,0,0,2,2,0,0
K17987,0,0,0,1,0,2,0,0,1,0
K17989,0,0,4,0,0,0,0,0,0,0
K17992,0,0,0,0,0,1,2,0,1,0
K17999,0,0,0,0,0,1,2,1,0,0
K18037,0,0,0,2,0,0,0,0,2,0
K18115,0,0,0,1,3,0,0,0,0,0
K18277,2,0,0,0,2,0,0,0,0,0
K18301,4,0,0,0,0,0,0,0,0,0
K18336,2,0,1,1,0,0,0,0,0,0
K18355,0,0,0,0,0,0,2,1,1,0
K18462,0,0,0,0,0,0,2,1,0,1
K18474,0,0,0,0,1,0,0,3,0,0
K18564,2,0,0,0,1,0,0,0,0,1
K18602,4,0,0,0,0,0,0,0,0,0
K18646,0,0,0,0,1,0,2,1,0,0
K18654,4,0,0,0,0,0,0,0,0,0
K18662,0,0,3,0,0,0,0,1,0,0
K18663,0,0,0,0,0,4,0,0,0,0
K18702,0,0,3,0,0,0,0,1,0,0
K18730,0,0,0,1,0,1,2,0,0,0
K18752,2,0,1,0,1,0,0,0,0,0
K18775,0,0,0,0,0,0,2,0,2,0
K18785,0,0,0,0,0,1,2,1,0,0
K18800,0,0,0,0,0,0,2,0,1,1
K18824,0,0,3,0,0,0,0,0,0,1
K18901,0,0,1,0,0,2,0,0,0,1
K18903,0,0,2,2,0,0,0,0,0,0
K18931,0,0,0,0,0,1,0,3,0,0
K19005,0,1,2,0,1,0,0,0,0,0
K19088,0,0,0,0,0,0,2,1,0,1
K19120,0,0,0,0,1,0,0,1,0,2
K19127,2,0,0,1,0,0,0,1,0,0
K19147,0,0,1,0,0,0,2,1,0,0
K19224,2,0,0,0,0,0,2,0,0,0
K19225,0,0,2,0,0,0,0,2,0,0
K19244,2,0,0,1,0,0,0,0,0,1
K19284,0,0,0,1,0,2,0,1,0,0
K19337,0,0,0,0,0,1,2,1,0,0
K19500,2,0,0,0,0,0,2,0,0,0
K19641,0,0,0,0,0,1,0,2,1,0
K19690,0,0,0,0,0,0,0,1,2,1
K19755,0,0,1,0,0,1,2,0,0,0
K19933,2,0,0,0,0,1,0,1,0,0
K19955,0,0,2,0,0,1,0,1,0,0
K19995,0,0,0,0,1,1,2,0,0,0
K20103,0,0,1,0,0,2,0,0,1,0
K00022,0,0,1,0,0,2,0,0,0,0
K00041,2,0,1,0,0,0,0,0,0,0
K00109,0,1,2,0,0,0,0,0,0,0
K00112,0,0,0,1,0,0,0,0,1,1
K00125,0,0,0,0,0,0,0,3,0,0
K00139,0,0,0,0,0,1,2,0,0,0
K00151,0,0,0,0,0,1,2,0,0,0
K00195,0,0,0,0,0,0,2,1,0,0
K00207,0,0,0,0,1,0,0,2,0,0
K00214,2,0,0,1,0,0,0,0,0,0
K00319,0,0,0,0,0,0,0,3,0,0
K00320,0,0,0,1,0,0,0,2,0,0
K00446,0,1,0,1,1,0,0,0,0,0
K00450,0,0,2,0,1,0,0,0,0,0
K00469,0,0,0,2,0,0,0,0,1,0
K00515,0,0,0,0,0,0,2,1,0,0
K00577,0,0,0,1,0,0,2,0,0,0
K00587,0,0,0,2,0,0,0,0,1,0
K00595,0,0,0,0,1,0,0,1,1,0
K00598,0,0,2,0,0,0,0,0,1,0
K00624,2,0,0,0,0,1,0,0,0,0
K00649,0,0,0,0,0,3,0,0,0,0
K00662,0,0,0,0,0,1,0,1,0,1
K00673,2,0,0,1,0,0,0,0,0,0
K00717,0,0,0,0,0,2,0,0,1,0
K00750,0,0,0,1,0,1,0,1,0,0
K00768,0,0,0,1,0,0,0,1,0,1
K00814,0,0,0,0,0,0,2,1,0,0
K00822,0,0,1,0,2,0,0,0,0,0
K00832,2,1,0,0,0,0,0,0,0,0
K00846,0,0,0,0,0,2,0,1,0,0
K00857,0,0,0,1,0,0,2,0,0,0
K00887,2,0,0,0,0,0,0,0,1,0
K00912,2,0,0,0,0,1,0,0,0,0
K00920,0,1,0,0,0,2,0,0,0,0
K00921,2,0,1,0,0,0,0,0,0,0
K00989,0,0,2,1,0,0,0,0,0,0
K00991,0,0,1,0,0,0,0,1,0,1
K01031,0,0,0,0,0,0,2,0,1,0
K01042,0,0,1,1,1,0,0,0,0,0
K01144,0,0,2,0,1,0,0,0,0,0
K01223,0,0,1,0,0,2,0,0,0,0
K01243,2,0,1,0,0,0,0,0,0,0
K01304,2,0,0,1,0,0,0,0,0,0
K01359,0,0,0,1,0,0,2,0,0,0
K01373,0,0,0,0,2,0,0,0,1,0
K01408,0,0,0,0,3,0,0,0,0,0
K01431,0,0,0,0,0,0,2,0,0,1
K01497,2,0,0,0,0,1,0,0,0,0
K01512,0,0,0,1,0,0,0,1,0,1
K01584,0,0,0,2,0,1,0,0,0,0
K01587,0,0,0,1,0,1,0,0,1,0
K01625,0,0,0,0,0,2,0,0,1,0
K01630,0,0,0,0,0,0,2,0,0,1
K01639,0,0,1,0,1,1,0,0,0,0
K01640,0,0,1,0,0,1,0,1,0,0
K01661,0,1,0,2,0,0,0,0,0,0
K01685,0,1,1,1,0,0,0,0,0,0
K01731,0,0,0,1,0,0,0,2,0,0
K01734,0,0,0,0,1,0,0,0,0,2
K01779,0,0,1,1,0,0,0,1,0,0
K01821,0,0,0,1,0,0,0,0,1,1
K01850,0,0,0,0,0,0,2,1,0,0
K01856,0,0,0,1,2,0,0,0,0,0
K01899,0,0,0,0,0,1,0,1,1,0
K01904,0,0,0,0,0,0,2,0,0,1
K02009,0,0,0,0,1,0,2,0,0,0
K02064,2,0,0,0,0,0,0,0,0,1
K02144,0,0,0,0,0,0,2,1,0,0
K02150,0,0,0,2,0,0,0,1,0,0
K02190,0,0,0,0,0,1,0,0,1,1
K02191,0,0,0,0,1,0,0,1,1,0
K02241,0,0,0,0,0,3,0,0,0,0
K02289,0,0,0,0,0,0,2,0,0,1
K02319,0,0,0,0,0,0,0,3,0,0
K02361,2,0,1,0,0,0,0,0,0,0
K02375,0,0,0,0,0,1,0,2,0,0
K02393,0,0,0,0,1,2,0,0,0,0
K02401,0,0,1,0,0,0,0,0,1,1
K02408,0,0,1,0,0,1,0,1,0,0
K02429,0,0,2,0,0,0,0,0,0,1
K02444,0,0,2,0,0,1,0,0,0,0
K02460,0,0,0,1,0,1,0,0,1,0
K02541,0,0,0,0,0,0,2,1,0,0
K02551,0,0,0,0,1,0,2,0,0,0
K02552,2,0,1,0,0,0,0,0,0,0
K02560,0,1,2,0,0,0,0,0,0,0
K02566,0,0,0,0,0,1,0,0,0,2
K02610,0,0,0,1,0,0,0,1,0,1
K02614,0,0,1,0,0,0,2,0,0,0
K02625,0,0,1,0,0,0,2,0,0,0
K02656,0,0,3,0,0,0,0,0,0,0
K02671,0,0,0,0,0,3,0,0,0,0
K02688,2,0,0,0,0,0,0,1,0,0
K02709,0,0,0,1,0,0,0,0,2,0
K02715,2,0,0,1,0,0,0,0,0,0
K02717,0,0,0,1,0,0,0,0,0,2
K02727,0,0,0,0,0,0,2,1,0,0
K02730,0,0,0,0,0,0,2,0,1,0
K02795,0,0,2,0,1,0,0,0,0,0
K02798,0,0,3,0,0,0,0,0,0,0
K02841,0,0,0,1,0,2,0,0,0,0
K02865,0,0,0,0,0,0,2,0,1,0
K02870,0,0,0,1,0,0,0,0,1,1
K02894,2,0,0,0,0,0,0,0,0,1
K02896,2,0,0,0,0,1,0,0,0,0
K02914,2,0,0,0,0,0,0,1,0,0
K02938,0,0,0,1,1,0,0,1,0,0
K02951,2,0,0,0,0,1,0,0,0,0
K02957,0,0,0,0,0,0,2,0,1,0
K02964,0,0,0,0,0,1,0,2,0,0
K02976,2,0,0,0,0,0,0,1,0,0
K02979,0,0,0,0,0,1,0,1,0,1
K02981,0,0,0,0,0,1,0,1,1,0
K02998,0,0,0,3,0,0,0,0,0,0
K03011,0,0,0,0,0,0,2,0,0,1
K03021,2,0,0,0,0,1,0,0,0,0
K03037,0,0,0,0,0,0,2,1,0,0
K03049,0,0,0,0,0,2,0,1,0,0
K03062,0,0,0,2,1,0,0,0,0,0
K03077,0,0,0,0,1,0,0,0,1,1
K03128,0,0,0,0,0,1,2,0,0,0
K03150,0,0,0,0,0,1,0,1,1,0
K03163,0,0,1,0,0,0,2,0,0,0
K03199,0,0,1,0,1,1,0,0,0,0
K03229,0,0,1,0,0,0,0,0,1,1
K03232,0,0,0,1,0,0,2,0,0,0
K03237,0,0,0,0,0,0,0,2,0,1
K03240,0,0,1,0,0,2,0,0,0,0
