,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
"K03797: E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]",38,7,5,9,12,24,12,23,12,4
K09014: sufB; Fe-S cluster assembly protein SufB,60,12,3,10,9,15,14,17,2,4
"K00412: CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",36,1,3,27,18,16,10,10,14,10
K03704: cspA; cold shock protein,24,4,4,11,14,11,38,26,7,6
"K02864: RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10",28,3,5,18,9,18,14,23,15,10
K00128: ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],22,6,10,11,10,18,26,13,10,16
"K02483: K02483; two-component system, OmpR family, response regulator",32,4,18,23,16,16,12,12,5,4
"K04771: degP, htrA; serine protease Do [EC:3.4.21.107]",34,2,4,14,12,27,16,20,7,6
K02038: pstA; phosphate transport system permease protein,12,2,1,12,10,20,32,23,5,23
"K00248: ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]",16,1,5,20,17,20,16,26,8,9
"K01358: clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",42,3,2,11,17,12,18,14,8,11
"K01647: CS, gltA; citrate synthase [EC:2.3.3.1]",26,2,6,19,8,18,6,26,17,10
"K03544: clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX",22,6,2,19,13,25,16,11,11,13
"K01069: gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]",10,6,5,20,15,32,14,12,13,10
K02705: psbC; photosystem II CP43 chlorophyll apoprotein,18,4,1,22,17,14,16,14,22,8
"K00548: metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]",16,2,0,11,9,16,30,23,8,20
K02025: ABC.MS.P; multiple sugar transport system permease protein,38,2,9,13,13,5,22,15,12,6
"K10355: ACTF; actin, other eukaryote",20,0,0,11,11,18,22,21,17,15
"K00184: K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit",14,2,3,16,27,10,20,17,8,17
"K00384: trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]",28,2,3,9,12,20,22,10,20,7
"K00525: E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",20,0,12,13,13,29,16,19,4,7
"K02112: ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]",20,5,1,25,12,13,6,22,15,14
"K00239: sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",16,2,5,11,13,12,26,16,20,11
K02026: ABC.MS.P1; multiple sugar transport system permease protein,38,4,11,12,13,9,10,13,8,14
"K02967: RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2",12,1,2,12,7,29,18,31,9,11
K03070: secA; preprotein translocase subunit SecA [EC:7.4.2.8],20,1,5,14,13,21,14,32,7,5
K18896: gsmt; glycine/sarcosine N-methyltransferase [EC:2.1.1.156],46,2,0,7,11,14,24,16,5,6
K02600: nusA; transcription termination/antitermination protein NusA,22,2,3,12,9,22,28,21,2,9
"K00249: ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]",20,0,10,17,15,14,16,24,4,9
"K00616: E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]",30,7,0,12,11,24,12,15,10,8
K11959: urtA; urea transport system substrate-binding protein,12,1,6,15,13,13,24,8,20,17
K19226: sapA; cationic peptide transport system substrate-binding protein,8,0,0,4,9,17,42,24,10,15
K02316: dnaG; DNA primase [EC:2.7.7.101],16,0,3,7,16,18,24,24,8,11
"K02950: RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12",18,1,1,12,12,23,16,18,21,5
"K02982: RP-S3, rpsC; small subunit ribosomal protein S3",8,1,4,10,14,27,14,31,6,12
K13992: pufC; photosynthetic reaction center cytochrome c subunit,10,1,0,14,18,6,16,21,13,28
K01138: K01138; uncharacterized sulfatase [EC:3.1.6.-],20,2,3,14,22,20,16,17,3,9
K01537: ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10],14,2,2,14,9,16,16,46,4,3
K14645: K14645; serine protease [EC:3.4.21.-],16,2,0,12,8,16,14,28,8,22
K00436: hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2],8,1,0,11,17,12,16,24,19,17
"K01176: AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]",8,0,7,9,11,27,16,24,8,15
K03530: hupB; DNA-binding protein HU-beta,16,6,6,15,6,25,12,7,18,13
K03924: moxR; MoxR-like ATPase [EC:3.6.3.-],26,0,8,15,13,7,16,26,6,7
K02635: petB; cytochrome b6,30,1,2,26,16,12,10,8,12,6
"K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",20,1,10,7,12,9,18,25,11,9
"K00382: DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",26,6,5,13,13,14,18,10,8,9
K01533: copB; P-type Cu2+ transporter [EC:7.2.2.9],32,2,11,9,10,22,10,16,6,3
"K01652: E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",22,2,9,9,7,16,14,24,5,13
K02588: nifH; nitrogenase iron protein NifH,4,2,0,10,20,31,20,6,2,26
K03628: rho; transcription termination factor Rho,20,2,2,13,14,27,16,19,2,6
"K04564: SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",28,4,1,14,11,15,22,15,3,8
K10352: MYH; myosin heavy chain,8,1,3,14,11,28,30,9,6,11
K07263: pqqL; zinc protease [EC:3.4.24.-],28,3,1,11,13,18,16,13,10,7
K02092: apcA; allophycocyanin alpha subunit,24,8,0,17,11,14,18,10,12,5
"K17686: copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]",38,3,13,6,6,21,10,16,4,2
"K01610: E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]",14,1,2,16,20,18,12,10,13,12
"K00627: DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",10,0,3,10,14,25,16,20,8,10
K03040: rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6],12,1,2,16,5,22,20,26,5,7
"K07335: bmpA, bmpB, tmpC; basic membrane protein A and related proteins",8,0,6,10,8,9,34,14,10,17
"K01784: galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]",12,2,3,13,18,5,18,24,6,14
K01996: livF; branched-chain amino acid transport system ATP-binding protein,10,1,9,2,6,26,14,22,9,16
K12368: dppA; dipeptide transport system substrate-binding protein,8,0,0,4,8,15,34,19,12,15
K15255: PIF1; ATP-dependent DNA helicase PIF1 [EC:3.6.4.12],0,0,5,1,6,59,8,35,1,0
"K01621: xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]",38,5,2,14,10,8,8,16,12,1
K05845: opuC; osmoprotectant transport system substrate-binding protein,14,4,2,14,7,13,22,15,8,15
K02256: COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],14,1,2,9,8,36,8,14,15,6
"K02871: RP-L13, MRPL13, rplM; large subunit ribosomal protein L13",12,0,0,20,14,18,12,11,11,15
"K04487: iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]",20,1,7,11,10,18,14,22,4,6
"K00262: E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",8,0,1,11,8,16,14,20,23,10
K01187: malZ; alpha-glucosidase [EC:3.2.1.20],12,1,3,9,13,9,24,22,5,13
K02096: apcE; phycobilisome core-membrane linker protein,20,5,0,12,11,16,18,7,17,5
K02505: hofC; protein transport protein HofC,26,4,4,15,11,8,12,17,6,8
K02586: nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1],2,3,0,10,32,13,18,4,0,28
"K03296: TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family",30,1,28,6,9,10,6,7,7,6
K05813: ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein,34,2,2,8,11,6,18,9,14,6
K10236: thuE; trehalose/maltose transport system substrate-binding protein,10,0,0,8,5,11,22,16,14,24
K13810: tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9],22,7,4,12,8,20,10,12,11,4
K00266: gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],4,1,2,7,6,27,16,22,13,11
"K00850: pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]",10,1,6,6,9,17,14,25,11,10
"K01130: E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]",22,1,3,12,26,19,6,13,5,2
"K01710: E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",30,2,4,8,12,9,12,22,4,6
"K01803: TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",16,2,1,7,16,15,12,18,12,10
K02034: ABC.PE.P1; peptide/nickel transport system permease protein,22,1,7,9,7,5,28,20,4,6
K01081: E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5],16,4,4,13,7,19,16,14,7,8
"K01126: E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",20,6,5,12,7,8,6,15,17,12
"K01681: ACO, acnA; aconitate hydratase [EC:4.2.1.3]",20,2,18,10,14,16,12,2,8,6
"K01689: ENO, eno; enolase [EC:4.2.1.11]",10,1,3,10,6,24,12,20,9,13
"K02274: coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]",28,4,1,11,23,10,6,13,5,7
"K02863: RP-L1, MRPL1, rplA; large subunit ribosomal protein L1",12,0,2,5,6,23,12,29,10,9
K04047: dps; starvation-inducible DNA-binding protein,38,5,0,8,10,13,12,11,3,8
K03553: recA; recombination protein RecA,20,3,2,11,9,9,22,19,7,5
